,population,count,Crime rate,murder_and_nonnegligent_manslaughter,aggravated_assault,robbery,arson,auto_theft,larceny,burglary,violent_crimes,property_crimes,murder_rate,aggravated_assault_rate,robbery_rate,arson_rate,auto_theft_rate,larceny_rate,burglary_rate,violent_crime_rate,property_crime_rate
Allston,22312,4697.0,5812.2390534675615,0.0,189.0,104.0,4.0,145.0,1237.0,461.0,293.0,1847.0,0.0,233.87549097410457,128.69339185876652,4.949745840721789,179.42828672616486,1530.7089012432134,570.4582081431863,362.56888283287105,2285.545141953286
Back Bay,16622,8965.0,14891.156408099576,0.0,198.0,151.0,4.0,198.0,5069.0,318.0,349.0,5589.0,0.0,328.88443600710724,250.81590826804643,6.6441300203456,328.88443600710724,8419.773768282963,528.2083366174752,579.7003442751536,9283.51067092789
Beacon Hill,9023,1399.0,4280.831822793422,0.0,14.0,21.0,1.0,44.0,594.0,71.0,35.0,710.0,0.0,42.838917454687575,64.25837618203136,3.0599226753348265,134.63659771473237,1817.5940691488872,217.25450994877272,107.09729363671894,2172.545099487727
Brighton,52685,5300.0,2777.4758695566966,3.0,150.0,72.0,3.0,151.0,1265.0,477.0,225.0,1896.0,1.572156152579262,78.6078076289631,37.73174766190229,1.572156152579262,79.13185967982287,662.9258443375888,249.9728282601027,117.91171144344466,993.6026884300937
Charlestown,16439,3025.0,5080.557756318941,1.0,126.0,90.0,3.0,100.0,743.0,120.0,217.0,966.0,1.6795232252294021,211.61992637890467,151.1570902706462,5.038569675688207,167.95232252294022,1247.885756345446,201.54278702752825,364.4565398747802,1622.4194355716024
Dorchester,114249,40437.0,9772.100614856561,91.0,2398.0,1262.0,25.0,1425.0,6585.0,1884.0,3751.0,9919.0,21.991274227859314,579.5063252572158,304.9778909402028,6.041558853807505,344.36885466702773,1591.3466020928968,455.2918752229336,906.4754904252779,2397.0488908366656
Downtown,15992,15590.0,26915.642011626085,5.0,748.0,549.0,4.0,214.0,4980.0,295.0,1302.0,5493.0,8.632341889552945,1291.3983466771208,947.8311394729135,6.905873511642356,369.4642328728661,8597.812521994734,509.3081714836238,2247.861828039587,9483.490799862866
East Boston,40508,7020.0,4784.733132783991,10.0,345.0,244.0,5.0,189.0,1233.0,345.0,599.0,1772.0,6.815859163509959,235.14714114109356,166.30696358964303,3.4079295817549795,128.81973819033823,840.395434860778,235.14714114109356,408.26996389424653,1207.7702437739647
Fenway,33895,5516.0,4493.140804375174,5.0,210.0,131.0,2.0,131.0,2284.0,308.0,346.0,2725.0,4.0728252396439215,171.0586600650447,106.70802127867076,1.6291300958575685,106.70802127867076,1860.4665694693433,250.88603476206552,281.83950658335937,2219.689755605937
Harbor Islands,535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
